Run,Purity,MIDS,TotalReads(M),lpWGSReads(M),TargetPanelReads(M),%ReadslpWGS,%ReadsPanel,1000x,500x,200x,100x,50x,25x,DupFrac,LowCovRegions,PurityPloidyRatio,ResNoise,SignalNoiseRatio,%VariantFraction,QAStatus_High,QAStatus_Low,QAStatus_Medium,Gene_BRCA1,Gene_BRCA2,Gene_RAD51D,Gene_Unlisted
13,80.0,7,19.6,13.5,6.1,69.0,31.0,2.0,2.0,2.0,2.0,2.0,2.0,91.0,0,0.5,0.11,2.65,0.0,1,0,0,0,0,0,1
13,30.0,8,23.2,16.0,7.2,69.0,31.0,80.0,80.0,80.0,80.0,80.0,80.0,75.0,0,0,0.12,1.39,62.6,0,0,1,0,0,1,0
13,60.0,9,23.4,16.8,6.6,72.0,28.0,17.0,17.0,17.0,17.0,17.0,17.0,83.0,0,0.23,0.08,4.44,0.0,1,0,0,0,0,0,1
13,80.0,10,22.0,15.7,6.3,71.0,29.0,13.0,13.0,13.0,13.0,13.0,13.0,86.0,5,0.42,0.08,3.95,0.0,1,0,0,0,0,0,1
13,30.0,11,23.2,16.4,6.8,71.0,29.0,88.0,88.0,88.0,88.0,88.0,88.0,72.0,0,0,0.07,2.09,0.0,0,0,1,0,0,0,1
13,60.0,12,21.0,15.1,5.9,72.0,28.0,15.0,15.0,15.0,15.0,15.0,15.0,83.0,0,0.45,0.09,4.48,0.0,1,0,0,0,0,0,1
13,60.0,13,23.8,16.9,6.9,71.0,29.0,87.0,87.0,87.0,87.0,87.0,87.0,69.0,0,0.25,0.14,2.39,71.2,1,0,0,1,0,0,0
13,50.0,14,23.3,16.4,6.9,71.0,29.0,19.0,19.0,19.0,19.0,19.0,19.0,84.0,0,0.45,0.09,3.47,89.8,1,0,0,0,1,0,0
13,70.0,15,23.5,16.3,7.2,69.0,31.0,52.0,52.0,52.0,52.0,52.0,52.0,80.0,0,0,0.11,2.47,0.0,0,0,1,0,0,0,1
15,30.0,14,28.5,20.2,8.3,71.0,29.0,94.0,94.0,94.0,94.0,94.0,94.0,69.0,0,0.23,0.13,1.88,0.0,1,0,0,0,0,0,1
15,20.0,15,28.7,20.3,8.4,71.0,29.0,36.0,36.0,36.0,36.0,36.0,36.0,85.0,0,0.25,0.08,0.01,0.0,1,0,0,0,0,0,1
15,10.0,16,25.9,18.8,7.1,73.0,27.0,14.0,14.0,14.0,14.0,14.0,14.0,86.0,2,0.12,0.08,1.71,0.0,1,0,0,0,0,0,1
15,30.0,17,24.6,21.7,2.9,88.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,72.0,25,0.3,0.12,1.83,47.0,1,0,0,0,1,0,0
6,25.0,1,20.4,15.0,5.4,74.0,26.0,65.0,65.0,65.0,65.0,65.0,65.0,67.0,1,0.0,0.12,1.14,0.0,0,0,1,0,0,0,1
4,40.0,2,17.2,15.7,1.5,91.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,127,0.0,0.15,0.94,59.6,0,0,1,0,1,0,0
6,10.0,2,22.4,15.6,6.8,70.0,30.0,98.0,98.0,98.0,98.0,98.0,98.0,62.0,0,0.0,0.1,0.78,0.0,0,0,1,0,0,0,1
12,0.0,2,21.5,14.5,7.0,68.0,32.0,98.0,98.0,98.0,98.0,98.0,98.0,59.0,1,0.0,0.06,0.33,5.4,0,0,1,0,1,0,0
2,30.0,3,19.8,13.6,6.2,69.0,31.0,78.0,78.0,78.0,78.0,78.0,78.0,65.0,1,0.0,0.13,1.59,0.0,0,0,1,0,0,0,1
5,60.0,3,20.2,13.8,6.4,68.0,32.0,67.0,67.0,67.0,67.0,67.0,67.0,73.0,0,0.0,0.16,1.91,0.0,0,0,1,0,0,0,1
6,10.0,3,25.5,18.8,6.7,74.0,26.0,88.0,88.0,88.0,88.0,88.0,88.0,67.0,0,0.0,0.13,1.08,0.0,0,0,1,0,0,0,1
11,0.0,4,18.6,13.0,5.6,70.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,3,0.0,0.13,0.4,0.0,0,0,1,0,0,0,1
2,40.0,23,18.3,12.2,6.1,66.0,34.0,10.0,10.0,10.0,10.0,10.0,10.0,86.0,11,0.0,0.16,1.56,0.0,0,0,1,0,0,0,1
5,50.0,23,14.0,10.5,3.5,75.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,83.0,43,0.0,0.13,1.7,26.7,0,0,1,0,1,0,0
12,60.0,23,21.6,15.5,6.1,72.0,28.0,82.0,82.0,82.0,82.0,82.0,82.0,61.0,0,0.0,0.15,1.1,64.7,0,0,1,1,0,0,0
