Sample,GI_index,QA_status,GI_status,Total(M),WGS(M),%WGS,%CovOut,PPR,RN,SNR,QAStatus,Run,LCR,25x,50x,100x,200x,500x,1000x,Cov_10%_qtile,Cov Het,Duplicate Fraction
200087246-496-S12,13.5,High,Positive,21.2,19.5,91.9%,0.3%,0.23,0.07,3.53,High,HRD_Run5,11,100.00%,99.98%,99.65%,97.78%,61.72%,6.22%,312×,0.43%,22.52%
200087247-499-S13,-8.2,High,Negative,14.0,13.0,93.3%,0.0%,0.3,0.1,1.71,High,HRD_Run5,68,99.98%,99.84%,97.93%,83.61%,17.51%,0.38%,166×,0.34%,37.34%
200087248-483-S14,3.1,Medium,Positive,17.4,16.2,92.9%,0.1%,-,0.12,1.4,Medium,HRD_Run5,35,99.98%,99.87%,98.83%,92.33%,35.74%,0.28%,221×,0.85%,19.39%
200087249-491-S15,-3.2,High,Negative,22.4,21.3,95.3%,0.0%,0.2,0.06,3.15,High,HRD_Run5,130,99.96%,99.30%,95.17%,79.76%,23.62%,0.59%,141×,1.91%,19.78%
200087250-482-S16,9.0,Medium,Positive,22.4,18.2,81.2%,3.7%,-,0.06,1.68,Medium,HRD_Run5,0,100.00%,100.00%,100.00%,100.00%,99.57%,94.55%,"1,114×",0.02%,37.97%
200087251-502-S17,-3.8,High,Negative,19.7,18.1,91.5%,0.4%,0.28,0.06,3.5,High,HRD_Run5,9,100.00%,100.00%,99.81%,98.42%,67.93%,1.80%,349×,0.34%,21.5%
200087252-484-S18,6.0,High,Positive,19.9,18.0,90.6%,0.0%,0.2,0.06,1.94,High,HRD_Run5,5,100.00%,100.00%,99.95%,98.59%,80.94%,19.70%,393×,0.71%,35.05%
200087253-490-S19,-1.7,Medium,Negative*,23.3,19.7,84.7%,3.1%,-,0.06,1.73,Medium,HRD_Run5,6,100.00%,99.99%,99.86%,97.38%,16.90%,0.00%,259×,0.07%,80.82%
200087254-500-S2,-12.6,High,Negative,22.8,19.0,83.1%,2.4%,0.23,0.1,1.84,High,HRD_Run5,0,100.00%,100.00%,100.00%,99.95%,98.07%,77.51%,763×,0.19%,44.88%
200087255-503-S20,-5.0,Medium,Negative,23.0,21.4,93.3%,0.1%,-,0.11,2.06,Medium,HRD_Run5,14,100.00%,99.94%,99.71%,97.09%,35.05%,1.39%,286×,0.21%,24.42%
200087256-485-S21,5.1,High,Positive,17.1,16.2,94.5%,0.0%,0.43,0.17,2.09,High,HRD_Run5,354,98.27%,90.08%,70.95%,43.10%,12.61%,1.34%,51×,5.33%,43.34%
200087257-504-S22,-9.5,High,Negative,22.6,19.2,84.7%,2.3%,0.2,0.05,2.34,High,HRD_Run5,0,100.00%,100.00%,100.00%,99.99%,98.44%,68.99%,808×,0.05%,39.89%
200087258-497-S23,6.1,High,Positive,22.1,20.6,93.1%,0.3%,0.45,0.06,5.2,High,HRD_Run5,14,100.00%,99.98%,99.65%,97.78%,43.72%,0.40%,295×,0.26%,18.06%
200087259-486-S3,-2.4,Medium,Negative*,21.6,20.5,94.9%,0.0%,-,0.07,1.05,Medium,HRD_Run5,67,99.94%,99.81%,98.73%,84.34%,5.08%,0.00%,176×,0.28%,21.46%
200087260-495-S4,-5.8,High,Negative,17.0,16.0,94.2%,0.0%,0.25,0.08,4.53,High,HRD_Run5,569,97.76%,85.21%,49.77%,12.89%,0.26%,0.00%,43×,1.34%,78.58%
200087885-516-S10,-9.7,High,Negative,21.7,14.9,68.9%,0.0%,0.15,0.07,3.33,High,HRD_Run6,0,100.00%,100.00%,100.00%,100.00%,99.90%,93.15%,"1,110×",0.02%,62.82%
200087886-508-S11,3.1,High,Positive,16.7,15.3,91.3%,0.1%,0.33,0.08,2.45,High,HRD_Run6,8,100.00%,99.98%,99.77%,97.12%,37.44%,0.32%,264×,0.16%,33.5%
200087888-506-S13,5.3,High,Positive,14.5,10.7,73.7%,0.0%,0.23,0.12,3.31,High,HRD_Run6,0,100.00%,100.00%,100.00%,99.85%,90.25%,20.76%,503×,0.05%,65.99%
200087889-525-S14,-3.8,High,Negative,23.2,18.7,80.6%,3.3%,0.3,0.08,3.6,High,HRD_Run6,0,100.00%,100.00%,100.00%,100.00%,99.72%,92.34%,"1,043×",0.00%,44.69%
200087890-526-S15,12.5,High,Positive,18.8,13.1,69.6%,5.7%,0.2,0.06,2.06,High,HRD_Run6,0,100.00%,100.00%,100.00%,100.00%,99.64%,89.81%,997×,0.00%,67.06%
200087891-521-S16,16.7,High,Positive,21.0,14.6,69.6%,0.0%,0.23,0.08,4.0,High,HRD_Run6,0,100.00%,100.00%,100.00%,100.00%,98.80%,44.22%,661×,0.00%,77.7%
200087892-522-S17,-7.6,High,Negative,23.3,18.7,80.1%,3.1%,0.43,0.08,3.67,High,HRD_Run6,0,100.00%,100.00%,100.00%,100.00%,99.47%,81.30%,855×,0.12%,41.75%
200087893-517-S18,-11.1,High,Negative,20.3,13.7,67.5%,5.7%,0.23,0.06,3.12,High,HRD_Run6,0,100.00%,100.00%,100.00%,100.00%,99.75%,92.73%,"1,069×",0.00%,64.24%
200087894-528-S19,7.2,Medium,Positive,19.5,14.0,71.5%,0.0%,-,0.11,2.32,Medium,HRD_Run6,0,100.00%,100.00%,100.00%,100.00%,99.39%,72.84%,860×,0.00%,68.82%
200087895-523-S2,-4.3,High,Negative,23.5,19.6,83.6%,1.6%,0.25,0.07,3.9,High,HRD_Run6,0,100.00%,100.00%,100.00%,99.99%,98.59%,77.44%,753×,0.11%,41.05%
200087896-509-S20,9.9,High,Positive,13.0,11.7,89.8%,2.1%,0.4,0.08,3.15,High,HRD_Run6,534,98.86%,91.51%,67.86%,23.76%,0.55%,0.00%,55×,1.66%,77.13%
200087897-505-S21,-0.9,High,Negative,22.6,15.6,68.9%,5.4%,0.25,0.09,2.49,High,HRD_Run6,0,100.00%,100.00%,100.00%,100.00%,99.89%,87.54%,969×,0.00%,70.92%
200087898-520-S22,-17.3,High,Negative,19.2,13.4,70.0%,0.1%,0.18,0.09,2.94,High,HRD_Run6,0,100.00%,100.00%,100.00%,99.87%,78.09%,27.63%,421×,0.00%,78.86%
200087899-512-S23,-5.6,Medium,Negative*,16.4,15.2,92.6%,0.1%,-,0.11,1.25,Medium,HRD_Run6,76,99.90%,99.78%,98.76%,83.21%,5.46%,0.00%,173×,0.31%,39.41%
200087900-513-S24,3.9,High,Positive,21.9,14.3,65.4%,5.6%,0.2,0.07,3.06,High,HRD_Run6,0,100.00%,100.00%,100.00%,100.00%,99.99%,97.99%,"1,344×",0.00%,60.87%
200087901-510-S3,9.6,High,Positive,23.3,17.5,74.9%,3.5%,0.25,0.09,2.63,High,HRD_Run6,0,100.00%,100.00%,100.00%,100.00%,99.43%,90.93%,"1,029×",0.10%,54.47%
